0.0	0.0	5.0
0.0	0.0	5.0
0.0	0.0	0.0
0.0	30.0	0.0
0.0	30.0	5.0
0.0	15.0	5.0
0.0	15.0	0.0
22.5	15.0	0.0
22.5	15.0	5.0
22.5	30.0	5.0
22.5	30.0	0.0
22.5	0.0	0.0
22.5	0.0	5.0
35.0	0.0	5.0
35.0	0.0	0.0
50.0	30.0	0.0
65.0	0.0	0.0
65.0	0.0	5.0
42.5	15.0	5.0
42.5	15.0	0.0
57.5	15.0	0.0
57.5	15.0	5.0
105.0	0.0	5.0
105.0	0.0	0.0
105.0	30.0	0.0
105.0	30.0	5.0
105.0	15.0	5.0
105.0	15.0	0.0
127.5	15.0	0.0
127.5	15.0	5.0
127.5	30.0	5.0
127.5	30.0	0.0
127.5	0.0	0.0
127.5	0.0	5.0
140.0	0.0	5.0
140.0	0.0	0.0
155.0	30.0	0.0
170.0	0.0	0.0
170.0	0.0	5.0
147.5	15.0	5.0
147.5	15.0	0.0
162.5	15.0	0.0
162.5	15.0	5.0
210.0	0.0	5.0
210.0	0.0	0.0
210.0	30.0	0.0
210.0	30.0	5.0
210.0	15.0	5.0
210.0	15.0	0.0
232.5	15.0	0.0
232.5	15.0	5.0
232.5	30.0	5.0
232.5	30.0	0.0
232.5	0.0	0.0
232.5	0.0	5.0
245.0	0.0	5.0
245.0	0.0	0.0
260.0	30.0	0.0
275.0	0.0	0.0
275.0	0.0	5.0
252.5	15.0	5.0
252.5	15.0	0.0
267.5	15.0	0.0
267.5	15.0	5.0
