46.0,-14.0,0.0
46.0,-14.0,5.0
59.0,-12.75,5.0
59.0,-12.75,0.0
57.75,-14.0,0.0
52.75,-14.0,0.0
51.5,-12.75,0.0
51.5,-5.25,0.0
52.75,-4.0,0.0
57.75,-4.0,0.0
59.0,-5.25,0.0
59.0,-12.75,0.0
59.0,-12.75,5.0
49.0,-4.0,5.0
49.0,-4.0,0.0
49.0,-14.0,0.0
49.0,-14.0,5.0
49.0,-9.0,5.0
49.0,-9.0,0.0
51.5,-9.0,0.0
51.5,-9.0,5.0
62.0,-14.0,5.0
62.0,-14.0,0.0
62.0,-11.5,0.0
72.0,-11.5,0.0
72.0,-14.0,0.0
72.0,-14.0,5.0
64.5,-11.5,5.0
64.5,-11.5,0.0
64.5,-4.0,0.0
69.5,-4.0,0.0
69.5,-11.5,0.0
69.5,-11.5,5.0
82.5,-14.0,5.0
82.5,-14.0,0.0
75.0,-14.0,0.0
75.0,-4.0,0.0
82.5,-4.0,0.0
82.5,-4.0,5.0
75.0,-9.0,5.0
75.0,-9.0,0.0
82.5,-9.0,0.0
82.5,-9.0,5.0
88.0,-4.0,5.0
88.0,-4.0,0.0
88.0,-14.0,0.0
95.5,-4.0,0.0
95.5,-14.0,0.0
95.5,-14.0,5.0
90.5,-4.0,5.0
90.5,-4.0,0.0
93.0,-4.0,0.0
93.0,-4.0,5.0
101.0,-14.0,5.0
101.0,-14.0,0.0
102.25,-12.75,0.0
102.25,-12.75,5.0
131.5,-14.0,5.0
131.5,-14.0,0.0
124.0,-14.0,0.0
124.0,-4.0,0.0
131.5,-4.0,0.0
131.5,-4.0,5.0
124.0,-9.0,5.0
124.0,-9.0,0.0
131.5,-9.0,0.0
131.5,-9.0,5.0
137.0,-14.0,5.0
137.0,-14.0,0.0
147.0,-4.0,0.0
147.0,-4.0,5.0
137.0,-4.0,5.0
137.0,-4.0,0.0
147.0,-14.0,0.0
147.0,-14.0,5.0
142.0,-14.0,5.0
142.0,-14.0,0.0
142.0,-4.0,0.0
142.0,-4.0,5.0
157.5,-14.0,5.0
157.5,-14.0,0.0
150.0,-14.0,0.0
150.0,-4.0,0.0
157.5,-4.0,0.0
157.5,-4.0,5.0
150.0,-9.0,5.0
150.0,-9.0,0.0
157.5,-9.0,0.0
157.5,-9.0,5.0
163.0,-14.0,5.0
163.0,-14.0,0.0
164.25,-14.0,0.0
165.5,-12.75,0.0
165.5,-4.0,0.0
173.0,-4.0,0.0
173.0,-14.0,0.0
173.0,-14.0,5.0
176.0,-4.0,5.0
176.0,-4.0,0.0
176.0,-14.0,0.0
183.5,-4.0,0.0
183.5,-14.0,0.0
183.5,-14.0,5.0
199.0,-9.0,5.0
199.0,-9.0,0.0
205.25,-9.0,0.0
206.5,-10.25,0.0
206.5,-12.75,0.0
205.25,-14.0,0.0
199.0,-14.0,0.0
199.0,-4.0,0.0
206.5,-4.0,0.0
206.5,-4.0,5.0
212.0,-9.0,5.0
212.0,-9.0,0.0
218.25,-9.0,0.0
219.5,-10.25,0.0
219.5,-12.75,0.0
218.25,-14.0,0.0
212.0,-14.0,0.0
212.0,-4.0,0.0
212.0,-4.0,5.0
222.0,-4.0,5.0
222.0,-4.0,0.0
222.0,-14.0,0.0
222.0,-14.0,5.0
235.0,-14.0,5.0
235.0,-14.0,0.0
242.5,-9.0,0.0
236.25,-9.0,0.0
235.0,-7.75,0.0
235.0,-5.25,0.0
236.25,-4.0,0.0
242.5,-4.0,0.0
242.5,-14.0,0.0
242.5,-14.0,5.0
0.0,-28.0,5.0
0.0,-28.0,0.0
0.0,-18.0,0.0
0.0,-18.0,5.0
0.0,-23.0,5.0
0.0,-23.0,0.0
7.5,-23.0,0.0
7.5,-23.0,5.0
7.5,-18.0,5.0
